thread,Number of Questions
01,1
1002,1
1003,1
1004,2
1005,1
1006,1
1007,0
1008,4
1009,3
101,3
1010,0
1011,1
1012,2
1013,0
1014,6
1015,1
1016,2
1017,1
1018,5
1019,2
102,0
1020,1
1021,21
1022,2
1023,1
1024,2
1025,1
1026,3
1027,3
1028,3
1029,1
103,5
1030,1
1031,1
1032,1
1033,5
1034,1
1035,0
1036,1
1037,3
1038,1
1039,4
104,2
1040,0
1041,1
1042,2
1043,2
1044,5
1045,2
1046,5
1047,0
1048,1
1049,0
105,0
1050,3
1051,1
1052,1
1053,4
1054,0
1055,1
1056,1
1057,0
1058,2
1059,0
106,1
1060,0
1061,1
1062,0
1063,10
1064,0
1065,1
1066,1
1067,1
1068,2
1069,2
107,2
1070,1
1071,2
1072,2
1073,0
1074,2
1075,1
1076,0
1077,0
1078,2
1079,0
108,4
1080,1
1081,0
1082,4
1083,1
1084,4
1085,0
1086,1
1087,10
1088,0
1089,3
109,0
1090,11
1091,0
1092,1
1093,3
1094,2
1095,1
1096,1
1097,2
1098,1
1099,2
11,0
110,3
1100,4
1101,1
1102,1
1103,0
1104,3
1105,0
1106,0
1107,4
1108,1
1109,2
111,0
1110,1
1111,0
1112,1
1113,2
1114,0
1115,1
1116,1
1117,1
1118,1
1119,5
112,0
1120,2
1121,0
1122,2
1123,1
1124,1
1125,5
1126,1
1127,3
1128,2
1129,0
113,4
1130,2
1131,0
1132,1
1133,1
1134,0
1135,2
1136,0
1137,0
1138,2
1139,1
114,0
1140,3
1141,1
1142,1
1143,1
1144,1
1145,5
1146,0
1147,2
1148,0
1149,1
115,5
1150,3
1151,1
1152,1
1153,2
1154,2
1155,1
1156,1
1157,1
1158,1
1159,0
116,5
1160,1
1161,5
1162,1
1163,0
1164,1
1165,1
1166,2
1167,3
1168,1
1169,5
117,1
1170,1
1171,1
1172,10
1173,1
1174,0
1175,0
1176,1
1177,2
1178,1
1179,4
118,1
1180,1
1181,8
1182,1
1183,4
1184,1
1185,1
1186,0
1187,14
1188,1
1189,9
119,2
1190,3
1191,1
1192,1
1193,0
1194,0
1195,1
1196,1
1197,3
1198,0
1199,1
12,7
120,1
1200,0
1201,2
1202,1
1203,7
1204,1
1205,1
1206,1
1207,3
1208,0
1209,1
121,3
1210,1
1211,1
1212,1
1213,1
1214,0
